                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9525,                  2.947,                 1.3939,                0.55958,                0.46971,                0.49791,                0.29513,                  1.196,                  2.696,                 1.6855,              0.0033071,              0.0033071,              0.0033071
                      2,                 1.0253,                 2.0061,                 1.4046,                0.34879,                0.33197,                0.27157,                0.12826,                 1.7059,                 3.2186,                 2.5964,              0.0065966,              0.0065966,              0.0065966
                      3,                 1.1541,                 1.9761,                 1.5036,                0.27881,                0.31052,                0.15685,                0.06558,                 1.8958,                 3.4085,                 2.4829,              0.0098421,              0.0098421,              0.0098421
                      4,                 1.2526,                 1.9599,                 1.5772,                0.45216,                0.41249,                0.35836,                0.17516,                 1.6973,                 2.6211,                 2.4029,               0.009802,               0.009802,               0.009802
                      5,                 1.2157,                 1.7645,                 1.5489,                0.58919,                0.45513,                 0.4878,                0.23504,                  1.814,                 2.2866,                 2.6022,               0.009802,               0.009802,               0.009802
                      6,                 1.1819,                 1.6093,                 1.5142,                0.54941,                0.53039,                0.52378,                0.30248,                 1.5052,                 1.9085,                 1.9818,               0.009736,               0.009736,               0.009736
                      7,                 1.1625,                 1.5125,                 1.4998,                 0.5455,                0.50842,                  0.509,                0.28191,                 1.5905,                 2.1292,                 2.1916,                0.00967,                0.00967,                0.00967
                      8,                 1.1283,                 1.4351,                 1.4722,                 0.6935,                0.64537,                0.69725,                0.44415,                 1.2816,                 1.4931,                 1.7714,               0.009604,               0.009604,               0.009604
                      9,                 1.1281,                 1.4241,                 1.4793,                0.75292,                0.67233,                0.73758,                0.47977,                 1.2571,                 1.2861,                 1.7642,               0.009538,               0.009538,               0.009538
                     10,                 1.1003,                 1.3555,                  1.458,                0.69504,                0.60219,                0.65665,                0.42306,                 1.3341,                  1.472,                 1.8566,               0.009472,               0.009472,               0.009472
